Frame;MethodName;RunTime;
00:01:10;PaintVideo;0.254;
00:01:11;GetVideoFrameFromVIP;5.4492;
00:01:11;PaintVideo;0.2482;
00:01:12;GetVideoFrameFromVIP;5.5635;
00:01:12;PaintVideo;0.2783;
00:01:13;GetVideoFrameFromVIP;5.8848;
00:01:13;PaintVideo;0.2549;
00:01:14;GetVideoFrameFromVIP;5.7124;
00:01:14;PaintVideo;0.2784;
00:01:15;GetVideoFrameFromVIP;5.7257;
00:01:15;PaintVideo;0.2687;
00:01:16;GetVideoFrameFromVIP;5.9676;
00:01:16;PaintVideo;0.3438;
00:01:17;GetVideoFrameFromVIP;5.7314;
00:01:17;PaintVideo;0.3051;
00:01:18;GetVideoFrameFromVIP;5.6778;
00:01:18;PaintVideo;0.3574;
00:01:19;GetVideoFrameFromVIP;6.3963;
00:01:19;PaintVideo;0.3428;
00:01:20;GetVideoFrameFromVIP;5.4623;
00:01:20;PaintVideo;0.2721;
00:01:21;GetVideoFrameFromVIP;6.0992;
00:01:21;PaintVideo;0.2979;
00:01:22;GetVideoFrameFromVIP;5.5574;
00:01:22;PaintVideo;0.2712;
00:01:23;GetVideoFrameFromVIP;5.9735;
00:01:23;PaintVideo;0.3244;
00:01:24;GetVideoFrameFromVIP;5.4995;
00:01:24;PaintVideo;0.2701;
00:02:00;GetVideoFrameFromVIP;5.6864;
00:02:00;PaintVideo;0.2611;
00:02:01;GetVideoFrameFromVIP;5.5367;
00:02:01;PaintVideo;0.2868;
00:02:02;GetVideoFrameFromVIP;5.5158;
00:02:02;PaintVideo;0.2717;
00:02:03;GetVideoFrameFromVIP;5.7589;
00:02:03;PaintVideo;0.3386;
00:02:04;GetVideoFrameFromVIP;5.8423;
00:02:04;PaintVideo;0.2693;
00:02:05;GetVideoFrameFromVIP;5.5406;
00:02:05;PaintVideo;0.2676;
00:02:06;GetVideoFrameFromVIP;5.3472;
00:02:06;PaintVideo;0.2807;
00:02:07;GetVideoFrameFromVIP;5.4855;
00:02:07;PaintVideo;0.2715;
00:02:08;GetVideoFrameFromVIP;5.5734;
00:02:08;PaintVideo;0.271;
00:02:09;GetVideoFrameFromVIP;5.4465;
00:02:09;PaintVideo;0.2785;
00:02:10;GetVideoFrameFromVIP;5.5274;
00:02:10;PaintVideo;0.273;
00:02:11;GetVideoFrameFromVIP;5.3356;
00:02:11;PaintVideo;0.318;
00:02:12;GetVideoFrameFromVIP;5.5618;
00:02:12;PaintVideo;0.2698;
00:02:13;GetVideoFrameFromVIP;5.725;
00:02:13;PaintVideo;0.2682;
00:02:14;GetVideoFrameFromVIP;6.0196;
00:02:14;PaintVideo;0.557;
00:02:15;GetVideoFrameFromVIP;5.5279;
00:02:15;PaintVideo;0.2998;
00:02:16;GetVideoFrameFromVIP;5.3463;
00:02:16;PaintVideo;0.2641;
00:02:17;GetVideoFrameFromVIP;5.6169;
00:02:17;PaintVideo;0.2633;
00:02:18;GetVideoFrameFromVIP;5.5614;
00:02:18;PaintVideo;0.2686;
00:02:19;GetVideoFrameFromVIP;5.6031;
00:02:19;PaintVideo;0.2961;
00:02:20;GetVideoFrameFromVIP;5.4229;
00:02:20;PaintVideo;0.2626;
00:02:21;GetVideoFrameFromVIP;5.7931;
00:02:21;PaintVideo;0.2666;
00:02:22;GetVideoFrameFromVIP;5.8237;
00:02:22;PaintVideo;0.2585;
00:02:23;GetVideoFrameFromVIP;5.7111;
00:02:23;PaintVideo;0.4327;
00:02:24;GetVideoFrameFromVIP;5.6131;
00:02:24;PaintVideo;0.2624;
00:03:00;GetVideoFrameFromVIP;6.1845;
00:03:00;PaintVideo;0.3022;
00:03:01;GetVideoFrameFromVIP;5.5479;
00:03:01;PaintVideo;0.2856;
00:03:02;GetVideoFrameFromVIP;5.7517;
00:03:02;PaintVideo;0.3147;
00:03:03;GetVideoFrameFromVIP;5.7924;
00:03:03;PaintVideo;0.2523;
00:03:04;GetVideoFrameFromVIP;6.2725;
00:03:04;PaintVideo;0.2854;
00:03:05;GetVideoFrameFromVIP;6.1376;
00:03:05;PaintVideo;0.2992;
00:03:06;GetVideoFrameFromVIP;5.4991;
00:03:06;PaintVideo;0.278;
00:03:07;GetVideoFrameFromVIP;6.0758;
00:03:07;PaintVideo;0.3499;
00:03:08;GetVideoFrameFromVIP;5.4453;
00:03:08;PaintVideo;0.2923;
00:03:09;GetVideoFrameFromVIP;5.7352;
00:03:09;PaintVideo;0.2752;
00:03:10;GetVideoFrameFromVIP;5.3789;
00:03:10;PaintVideo;0.2638;
00:03:11;GetVideoFrameFromVIP;5.748;
00:03:11;PaintVideo;0.2578;
00:03:12;GetVideoFrameFromVIP;5.7057;
00:03:12;PaintVideo;0.2776;
00:03:13;GetVideoFrameFromVIP;5.8869;
00:03:13;PaintVideo;0.2545;
00:03:14;GetVideoFrameFromVIP;5.8735;
00:03:14;PaintVideo;0.2733;
00:03:15;GetVideoFrameFromVIP;5.4548;
00:03:15;PaintVideo;0.2591;
00:03:16;GetVideoFrameFromVIP;5.7946;
00:03:16;PaintVideo;0.2688;
00:03:17;GetVideoFrameFromVIP;5.5362;
00:03:17;PaintVideo;0.2649;
00:03:18;GetVideoFrameFromVIP;5.7798;
00:03:18;PaintVideo;0.2577;
00:03:19;GetVideoFrameFromVIP;5.7523;
00:03:19;PaintVideo;0.2711;
00:03:20;GetVideoFrameFromVIP;5.4568;
00:03:20;PaintVideo;0.2767;
00:03:21;GetVideoFrameFromVIP;5.9389;
00:03:21;PaintVideo;0.2521;
00:03:22;GetVideoFrameFromVIP;5.8606;
00:03:22;PaintVideo;0.2505;
00:03:23;GetVideoFrameFromVIP;5.8836;
00:03:23;PaintVideo;0.275;
00:03:24;GetVideoFrameFromVIP;5.6057;
00:03:24;PaintVideo;0.2734;
00:04:00;GetVideoFrameFromVIP;5.3526;
00:04:00;PaintVideo;0.2728;
00:04:01;GetVideoFrameFromVIP;5.919;
00:04:01;PaintVideo;0.3954;
00:04:02;GetVideoFrameFromVIP;5.4284;
00:04:02;PaintVideo;0.2742;
00:04:03;GetVideoFrameFromVIP;5.8671;
00:04:03;PaintVideo;0.3462;
00:04:04;GetVideoFrameFromVIP;5.7127;
00:04:04;PaintVideo;0.2697;
00:04:05;GetVideoFrameFromVIP;5.3348;
00:04:05;PaintVideo;0.2751;
00:04:06;GetVideoFrameFromVIP;5.7465;
00:04:06;PaintVideo;0.2588;
00:04:07;GetVideoFrameFromVIP;5.6743;
00:04:07;PaintVideo;0.2759;
00:04:08;GetVideoFrameFromVIP;5.9033;
00:04:08;PaintVideo;0.2718;
00:04:09;GetVideoFrameFromVIP;6.0304;
00:04:09;PaintVideo;0.2741;
00:04:10;GetVideoFrameFromVIP;5.5933;
00:04:10;PaintVideo;0.2986;
00:04:11;GetVideoFrameFromVIP;6.3992;
00:04:11;PaintVideo;0.2863;
00:04:12;GetVideoFrameFromVIP;5.6711;
00:04:12;PaintVideo;0.2788;
00:04:13;GetVideoFrameFromVIP;5.6885;
00:04:13;PaintVideo;0.2658;
00:04:14;GetVideoFrameFromVIP;6.0893;
00:04:14;PaintVideo;0.2569;
00:04:15;GetVideoFrameFromVIP;5.6329;
00:04:15;PaintVideo;0.2632;
00:04:16;GetVideoFrameFromVIP;5.9271;
00:04:16;PaintVideo;0.2701;
00:04:17;GetVideoFrameFromVIP;5.7298;
00:04:17;PaintVideo;0.3046;
00:04:18;GetVideoFrameFromVIP;5.4954;
00:04:18;PaintVideo;0.2736;
00:04:19;GetVideoFrameFromVIP;5.9533;
00:04:19;PaintVideo;0.2824;
00:04:20;GetVideoFrameFromVIP;5.5882;
00:04:20;PaintVideo;0.2727;
00:04:21;GetVideoFrameFromVIP;5.6502;
00:04:21;PaintVideo;0.2558;
00:04:22;GetVideoFrameFromVIP;5.7547;
00:04:22;PaintVideo;0.2671;
00:04:23;GetVideoFrameFromVIP;5.7065;
00:04:23;PaintVideo;0.2722;
00:04:24;GetVideoFrameFromVIP;5.7267;
00:04:24;PaintVideo;0.3081;
00:05:00;GetVideoFrameFromVIP;148.224;
00:05:00;PaintVideo;0.4934;
00:05:00;RenderFrame;148.943;
00:05:01;GetVideoFrameFromVIP;68.6098;
