Frame;Duration;
00:00:00;1.3965;
00:00:02;5.704;
00:00:03;5.9658;
00:00:04;6.3955;
00:00:05;6.0337;
00:00:06;5.7374;
00:00:07;6.3826;
00:00:08;6.0284;
00:00:09;7.5364;
00:00:10;6.0688;
00:00:11;6.3164;
00:00:12;6.6655;
00:00:13;5.9748;
00:00:14;6.8539;
00:00:15;6.0617;
00:00:16;6.0035;
00:00:17;6.3881;
00:00:18;5.9165;
00:00:19;6.607;
00:00:20;5.9867;
00:00:21;6.5065;
00:00:22;5.9914;
00:00:23;6.0173;
00:00:24;6.4101;
00:01:00;6.3202;
00:01:01;6.0264;
00:01:02;6.0042;
00:01:03;6.077;
00:01:04;6.0828;
00:01:05;6.2742;
00:01:06;5.7565;
00:01:07;6.2275;
00:01:08;5.8966;
00:01:09;6.0485;
00:01:10;6.0856;
00:01:11;5.8599;
00:01:12;5.9361;
00:01:13;6.2309;
00:01:14;6.0771;
00:01:15;6.0868;
00:01:16;6.4366;
00:01:17;6.157;
00:01:18;6.3423;
00:01:19;6.8638;
00:01:20;5.9002;
00:01:21;6.5444;
00:01:22;6.099;
00:01:23;6.3897;
00:01:24;5.9493;
00:02:00;6.0354;
00:02:01;5.9638;
00:02:02;5.8836;
00:02:03;6.2447;
00:02:04;6.2187;
00:02:05;5.896;
00:02:06;5.7644;
00:02:07;5.8501;
00:02:08;5.9327;
00:02:09;5.8125;
00:02:10;5.8911;
00:02:11;5.7806;
00:02:12;6.0273;
00:02:13;6.0787;
00:02:14;6.682;
00:02:15;6.0057;
00:02:16;5.7705;
00:02:17;5.9881;
00:02:18;5.9194;
00:02:19;5.9967;
00:02:20;5.7785;
00:02:21;6.1782;
00:02:22;6.2264;
00:02:23;6.2589;
00:02:24;6.0361;
00:03:00;6.6131;
00:03:01;5.9626;
00:03:02;6.2051;
00:03:03;6.205;
00:03:04;6.6512;
00:03:05;6.5562;
00:03:06;5.9163;
00:03:07;6.5467;
00:03:08;5.8685;
00:03:09;6.099;
00:03:10;5.7966;
00:03:11;6.095;
00:03:12;6.1085;
00:03:13;6.2525;
00:03:14;6.2614;
00:03:15;5.8292;
00:03:16;6.1786;
00:03:17;5.9577;
00:03:18;6.1236;
00:03:19;6.1121;
00:03:20;5.8521;
00:03:21;6.2806;
00:03:22;6.2327;
00:03:23;6.2439;
00:03:24;6.0272;
00:04:00;5.7549;
00:04:01;6.4412;
00:04:02;5.8582;
00:04:03;6.3211;
00:04:04;6.0855;
00:04:05;5.7414;
00:04:06;6.1201;
00:04:07;6.0669;
00:04:08;6.2634;
00:04:09;6.3981;
00:04:10;6.0262;
00:04:11;6.8099;
00:04:12;6.0407;
00:04:13;6.0397;
00:04:14;6.4326;
00:04:15;6.0209;
00:04:16;6.3269;
00:04:17;6.1626;
00:04:18;5.9169;
00:04:19;6.3632;
00:04:20;6.0215;
00:04:21;5.9897;
00:04:22;6.1173;
00:04:23;6.067;
00:04:24;6.128;
00:07:01;5.7014;
00:07:02;5.8126;
00:07:03;5.5102;
00:07:04;5.521;
00:07:05;6.224;
00:07:06;5.7861;
00:07:07;5.845;
00:07:08;6.045;
00:07:09;5.4637;
00:07:10;5.9773;
00:07:11;6.0114;
00:07:12;5.8684;
00:07:13;6.1012;
00:07:14;5.7997;
00:07:15;6.1419;
00:07:16;5.8496;
00:07:17;5.8637;
00:07:18;5.9194;
00:07:19;5.6123;
00:07:20;6.4753;
00:07:21;5.9159;
00:07:22;6.121;
00:07:23;6.2112;
00:07:24;5.7197;
00:08:00;5.8967;
00:08:01;5.8537;
00:08:02;5.8798;
00:08:03;5.9852;
00:08:04;5.5554;
00:08:05;6.3315;
00:08:06;5.8862;
00:08:07;6.226;
00:08:08;5.71;
00:08:09;5.6514;
00:08:10;5.9951;
00:08:11;6.1243;
00:08:12;5.82;
00:08:13;5.9901;
00:08:14;5.5717;
00:08:15;5.9552;
00:08:16;6.2033;
00:08:17;5.8438;
00:08:18;6.1526;
00:08:19;5.8192;
00:08:20;8.1355;
00:08:21;6.2173;
00:08:22;5.886;
00:08:23;6.2226;
00:08:24;5.7788;
00:09:00;5.8474;
00:09:01;5.9667;
00:09:02;5.9265;
00:09:03;6.0483;
00:09:04;5.7143;
00:09:05;5.8578;
00:09:06;5.875;
00:09:07;7.1061;
00:09:08;5.8807;
00:09:09;5.5084;
00:09:10;5.632;
00:09:11;5.7813;
00:09:12;5.6454;
00:09:13;5.7953;
00:09:14;5.5691;
00:09:15;6.3306;
00:09:16;5.8602;
00:09:17;6.1889;
00:09:18;5.6518;
00:09:19;5.532;
00:09:20;6.051;
00:09:21;5.7482;
00:09:22;5.9731;
00:10:00;8.4174;
00:12:00;9.0667;
00:12:01;5.4358;
00:12:02;5.9251;
00:12:03;5.5876;
00:12:04;5.6316;
00:12:05;5.8991;
00:12:06;5.4797;
00:12:07;5.4869;
00:12:08;5.4841;
00:12:09;8.7713;
00:12:10;6.9432;
00:12:11;5.4446;
00:12:12;5.534;
00:12:13;5.4621;
00:12:14;5.7494;
00:12:15;5.9169;
00:12:16;6.0509;
00:12:17;5.5088;
00:12:18;5.5295;
00:12:19;5.6943;
00:12:20;5.4799;
00:12:21;5.546;
00:12:22;5.6443;
00:12:23;5.5748;
00:12:24;5.7053;
00:13:00;5.5811;
00:13:01;5.3013;
00:13:02;5.8548;
00:13:03;5.519;
00:13:04;5.6603;
00:13:05;5.8007;
00:13:06;5.5184;
00:13:07;5.5118;
00:13:08;5.6376;
00:13:09;5.4022;
00:13:10;5.461;
00:13:11;5.6416;
00:13:12;5.2692;
00:13:13;5.5836;
00:13:14;5.795;
00:13:15;5.4621;
00:13:16;5.4962;
00:13:17;5.7026;
00:13:18;5.5624;
00:13:19;5.6492;
00:13:20;5.6535;
00:13:21;5.4925;
00:13:22;5.3886;
00:13:23;5.4979;
00:13:24;5.474;
00:14:00;5.5738;
00:14:01;5.5579;
00:14:02;5.5027;
00:14:03;5.8121;
00:14:04;5.3167;
00:14:05;5.4691;
00:14:06;5.975;
00:14:07;5.4442;
00:14:08;5.5301;
00:14:09;5.741;
00:14:10;5.5973;
00:14:11;5.4689;
00:14:12;5.4325;
00:14:13;5.4698;
00:14:14;5.5275;
00:14:15;5.9472;
00:14:16;5.4614;
00:14:17;5.6518;
00:14:18;5.8012;
00:14:19;5.8662;
00:14:20;5.5759;
00:14:21;5.6553;
00:14:22;5.5123;
00:14:23;6.1411;
00:14:24;5.562;
00:15:00;5.6019;
00:15:01;5.5434;
00:15:02;5.3009;
00:15:03;5.473;
00:15:04;5.6571;
00:15:05;5.4641;
00:15:06;5.4032;
00:15:07;5.7364;
00:15:08;5.5967;
00:15:09;5.4742;
00:15:10;5.6198;
00:15:11;5.64;
00:15:12;5.5409;
00:15:13;5.7556;
00:15:14;5.3969;
00:15:15;5.4821;
00:15:16;5.7247;
00:15:17;5.344;
00:15:18;5.5797;
00:15:19;5.8134;
00:15:20;5.6544;
00:15:21;5.7766;
00:15:22;5.4789;
00:15:23;5.4733;
00:15:24;6.1982;
00:16:00;5.9703;
00:16:01;5.4155;
00:16:02;5.7007;
00:16:03;5.409;
00:16:04;5.4371;
00:16:05;5.6422;
00:16:06;5.4646;
00:16:07;5.2198;
00:16:08;5.5782;
00:16:09;5.4876;
00:16:10;5.4746;
00:16:11;5.6889;
00:16:12;5.3565;
00:16:13;5.4516;
00:16:14;5.8615;
